Distance,SNR,TOF,Label
8.751567840576172, 15.916605949401855, 2210, 0
8.541605949401855, 16.91485023498535, 2069, 0
1.7279268503189087, 27.616539001464844, 1740, 1
1.4456716775894165, 30.07169532775879, 1348, 1
1.0798275470733643, 30.1409912109375, 1105, 1
0.7485573887825012, 24.164825439453125, 1090, 1
1.2132867574691772, 29.263385772705078, 1184, 1
1.2290490865707397, 33.25873947143555, 1263, 0
1.3158094882965088, 34.88754653930664, 1275, 0
1.3598010540008545, 31.30689239501953, 1279, 0
1.3298407793045044, 34.93806838989258, 1280, 0
1.2348436117172241, 32.45819854736328, 1251, 0
1.3632397651672363, 29.839935302734375, 1127, 1
1.1922698020935059, 34.33986282348633, 872, 1
0.8584592342376709, 32.37217330932617, 682, 1
0.6308772563934326, 30.7192440032959, 421, 1
0.3425239026546478, 30.00832748413086, 371, 1
0.8429681658744812, 33.329933166503906, 375, 1
0.326315313577652, 23.315597534179688, 357, 1
0.7393175959587097, 28.260812759399414, 377, 1
0.9815582633018494, 32.65796661376953, 314, 1
0.6153944730758667, 38.447330474853516, 324, 1
1.2192946672439575, 31.282970428466797, 449, 1
0.7407339215278625, 37.5538215637207, 684, 1
1.0845749378204346, 33.04253387451172, 919, 1
1.3320977687835693, 34.86470031738281, 1318, 1
1.568425178527832, 27.727081298828125, 1352, 1
1.592365026473999, 29.43413734436035, 1709, 0
8.751567840576172, 17.031579971313477, 2182, 0
8.751567840576172, 14.613490104675293, 2630, 0
3.1717336177825928, 16.87232208251953, 2645, 0
8.751567840576172, 15.664473533630371, 2808, 0
3.191283941268921, 18.91108512878418, 3142, 0
3.2881083488464355, 16.48049545288086, 3043, 0
8.629463195800781, 13.793497085571289, 2792, 0
8.40961742401123, 18.151912689208984, 2680, 0
2.579204797744751, 23.76828956604004, 2486, 0
2.31550669670105, 22.80276870727539, 2178, 0
1.955263614654541, 24.117734909057617, 1942, 1
1.8210495710372925, 23.781959533691406, 1697, 1
1.6002329587936401, 20.67196273803711, 1506, 1
1.3537428379058838, 32.070220947265625, 1339, 1
1.2367902994155884, 29.263797760009766, 1268, 1
1.2123558521270752, 29.965456008911133, 1193, 1
1.0670580863952637, 32.04437255859375, 1040, 1
0.8147357106208801, 17.921350479125977, 999, 1
0.99135822057724, 37.71940994262695, 937, 1
1.194743037223816, 18.786741256713867, 825, 1
2.1906516551971436, 15.07633113861084, 475, 1
0.716969907283783, 29.238819122314453, 321, 1
0.6173192262649536, 31.669273376464844, 464, 1
0.6965869665145874, 28.31722640991211, 684, 1
0.8304371237754822, 36.007598876953125, 797, 1
0.8230651617050171, 32.141685485839844, 973, 1
1.307856559753418, 25.862035751342773, 1096, 0
1.1173151731491089, 34.49391555786133, 1237, 0
1.0821356773376465, 31.91809844970703, 1101, 0
1.0954185724258423, 33.585697174072266, 1170, 0
1.6035460233688354, 28.94770050048828, 1461, 0
1.6962827444076538, 31.60921859741211, 1636, 0
1.5539371967315674, 27.505226135253906, 1646, 0
1.7221364974975586, 29.135408401489258, 1788, 0
1.966942548751831, 24.889385223388672, 2106, 0
2.079725742340088, 23.271194458007812, 2126, 0
2.2136757373809814, 20.611751556396484, 2140, 0
